file,rows,columns,size_bytes,sha256
Figure_1A_cohort_composition.csv,8,6,606,ebca528c2e588b0b91d8ac012ca719ad82fcb78db1c8772623f16f44e78ec7a8
Figure_1B_release_boundary.csv,3,4,220,a3b512c823ab53a95e6473ef72db3cb972a581fc891fd670d42d4470abaf8a2c
Figure_1C_protocol_groups.csv,3,6,267,390f77605a783c724642e531dc4cd58b03f9f1f0afe20c6325c7bfc92865ddf2
Figure_1D_identifier_coverage.csv,4,3,247,c13ed976693bab36ce574450fcbf1393bf39bf2bc15f26032aeb4c2791537d7c
Figure_2_record_roles.csv,7,6,1352,fe53831fdd4d01c707d98d8df1d3d6e160f62d7bee446632d434769d7db1e3b1
Figure_2_retained_ligand_classification.csv,207,4,4545,fb9d9ee58ff9d3f55f2f5a43c860655f2509fcdff4f70dce91fd697bf9907403
Figure_3A_positive_control.csv,58,9,6526,8ee79ea1e64e313fda7b4d97229bb86eb1cd9d1a6c6e6625cf6b9ffd1212815c
Figure_3B_pocket_completeness.csv,2,4,203,38487e7b01bed1538dd9461b63246cfef7a339884aa46d892e20d30cb527db7b
Figure_4A_replica_validation.csv,621,11,64652,215c30fba6b25d3b32e5a3d0ccaece17585ad90a036c46afa1d664b81c6ac79f
Figure_4B_reduced_release_qc.csv,621,16,55687,504abf57e647ba9cf21ba2d8ceac73517a05f71d380ddbdcb7fc9652e5e70ba3
Figure_4D_release_qc_summary.csv,3,12,398,1e14956aa3de87efe0ae1789ede3e3f294d3d62c33b0468ac3bd4683a231df96
Figure_4E_replica_file_sizes.csv,621,5,25975,7690f6856a1d09d1eb426ae2ececd17672230e47be11bacc023170228cc40900
Figure_4F_worked_example.csv,2,19,919,2e1dfca04f19a51d646e26bb1a369f61223b2f2ded29776a5952094a23366e9f
Figure_5A_contact_matrix.csv,2500,17,112847,03ea02fb24e4a15014124cb841a021e57f3477956a46a54c40c40eb993f7eb4f
Figure_5A_contact_matrix_full.csv,250,50,27090,c05326202f8ae6f9404b20e529aabd7584e9e0ecf1a4471b15545471040cd760
Figure_5A_contact_matrix_residues.csv,15,5,428,a0f53f476ef1ca1b7504958e336bcb5929aaed2d384aa162964d353893c19aa2
Figure_5A_contact_params.csv,48,5,2233,16ce4d16db201c7d25aea6958cfa12e866b9ee0160d7d214464b045c31005568
Figure_5A_contact_persistence.csv,48,5,1180,a507c341f2b4b55e8240aa17a8f658e2a789848bf25f35488458554640869964
Figure_5A_release_status.csv,3,12,629,399cafdbca86eef9c1eea90485b12a0c8cd0387368d5797d3e3d6dc271d0b076
Figure_5B_release_file_manifest.csv,1242,18,333957,20185adc98420180c98aa08b46efb58bffe4f9a76b62862ac5ea1f486013650c
Figure_5B_rmsd_trajectory.csv,2500,3,84659,60d171a6163ac5ad9a595a4e22059d43356360fe7da4d65927f4a5686a032243
Figure_5C_replica_qc_summary.csv,3,5,177,09ee80856cf97917280baa6c0fd9b42342e7438f710f4734674e56e073e2fc92
Figure_5D_worked_example.csv,2,19,919,2e1dfca04f19a51d646e26bb1a369f61223b2f2ded29776a5952094a23366e9f
Supplementary_Figure_1_gateway_provenance.csv,4,5,508,6e18a6c581ea530eeb989a2c83bba616da920ded643bca9172d2efb6f90a5e68
Supplementary_Figure_2_sampling_provenance.csv,5,4,601,9f6b606a5a81b0fd8e2177f7a90db31902644b53869bec4e81d79c17cbeb5ced
Supplementary_Table_release_status.csv,3,10,642,004b8e0305a3fc85b85c3be857082b266c6bd509b44d7445e15ce7d545953372
