system_id,g_protein_family,ligand_context,structural_provenance,g_protein_family_label,figure_label
Gi_6CMO,Gi,none,engineered_uncertain,Gi/o,no orthosteric-defining ligand
Gi_6D9H,Gi,none,engineered_uncertain,Gi/o,no orthosteric-defining ligand
Gi_6G79,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_6K42,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_6LFO,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_6LML,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_6OSA,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_6PT0,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_6WWZ,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7CMV,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7D77,Gi,none,engineered_uncertain,Gi/o,no orthosteric-defining ligand
Gi_7E2X,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7E32,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7E33,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7EJX,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7EW1,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7EW4,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7EXD,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7EZH,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_7F1Q,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7F8V,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_7NA7,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_7QVM,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7SQO,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7T10,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_7T96,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7TS0,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_7TUZ,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7VDL,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_7VGZ,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7VH0,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7VIF,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7VKT,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7VL9,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7W0N,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7W6P,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7WQ3,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_7WU9,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7WV9,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7WVU,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7WVX,Gi,peptide,experimental,Gi/o,peptide eligible
Gi_7X5H,Gi,none,experimental,Gi/o,no orthosteric-defining ligand
Gi_7X9A,Gi,peptide,experimental,Gi/o,peptide eligible
