system_id,pdb_id,g_protein_family,source_replica,archive_filename,n_atoms,component_scope,schema_version,release_file_id,file_role,archive_member_path,size_bytes,sha256,n_frames,frame_interval_ps,represented_span_ns
G12_7SF7,7SF7,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,14148,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_7SF7:structure_pdb,structure_pdb,G12_7SF7/structure.pdb,1146150,4f8a47b2bda9cc271c84f790afded96d387b1991236728a338f4eaab6c7b6ec5,1,,
G12_7SF7,7SF7,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,14148,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_7SF7:trajectory_xtc,trajectory_xtc,G12_7SF7/traj.xtc,134520700,9763422edfb3d07032901e1f45d577e6c02094925e2189614b71f5408a26ca0e,2500,200.000,499.800
G12_7SF8,7SF8,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,13853,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_7SF8:structure_pdb,structure_pdb,G12_7SF8/structure.pdb,1122255,fafbd07feffcf6e0a0f656dd40a4bdc5a4d76fd764d9cded303879376e03cbe9,1,,
G12_7SF8,7SF8,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,13853,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_7SF8:trajectory_xtc,trajectory_xtc,G12_7SF8/traj.xtc,131802396,32882f2072d34ad001ffe301ab6ac6add8045256139ab4006c2c75567e1a9fe5,2500,200.000,499.800
G12_7T6B,7T6B,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,17318,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_7T6B:structure_pdb,structure_pdb,G12_7T6B/structure.pdb,1402920,b8b11cc6f4bac15c777671fd4f818ccda809da4398599db71d6ed9a6c9d666e4,1,,
G12_7T6B,7T6B,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,17318,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_7T6B:trajectory_xtc,trajectory_xtc,G12_7T6B/traj.xtc,164395204,7e81f67f2ef127cffc2078d3d685beab375470aa169c38fcfd087d988e98c5f9,2500,200.000,499.800
G12_8IKL,8IKL,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,14016,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_8IKL:structure_pdb,structure_pdb,G12_8IKL/structure.pdb,1135458,0f1f688440f3e10c3181780c19cadd46c65cae2b96fd06b187bdcbadfad60196,1,,
G12_8IKL,8IKL,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,14016,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_8IKL:trajectory_xtc,trajectory_xtc,G12_8IKL/traj.xtc,133306780,51e62539008ab8de9aaea879f55a7d18397136cfff5afb8281f682c76f5e42b6,2500,200.000,499.800
G12_8KGG,8KGG,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,14535,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_8KGG:structure_pdb,structure_pdb,G12_8KGG/structure.pdb,1177497,6ee137d37128d93618c86df055c61a8a8bed8843448317a246a590dd2ffb42fa,1,,
G12_8KGG,8KGG,G12-13,1,CoupledMD_reduced_trajectories_G12-13.zip,14535,proteins plus selected ligands retained during system preparation where applicable,1.0,G12_8KGG:trajectory_xtc,trajectory_xtc,G12_8KGG/traj.xtc,138139912,a3f463fc011de4adc2a81539c7675e4b75ed589908a5a37ffdc2230ce61ec4f4,2500,200.000,499.800
