system_id,g_protein_family,source_replica,pdb_sha256,xtc_sha256,n_atoms,frame_count,frame_interval_ps,represented_span_ns,pdb_xtc_atom_counts_match,finite_coordinates,finite_monotonic_time,valid_periodic_box,atom_order_backbone_geometry,catastrophic_chain_break_absent,complex_separation_absent,coordinate_scatter_absent,full_frames_checked,release_action,full_frame_qc_status,component_scope,component_scope_authority,excluded_components,schema_version
G12_7SF7,G12-13,1,4f8a47b2bda9cc271c84f790afded96d387b1991236728a338f4eaab6c7b6ec5,9763422edfb3d07032901e1f45d577e6c02094925e2189614b71f5408a26ca0e,14148,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
G12_7SF8,G12-13,1,fafbd07feffcf6e0a0f656dd40a4bdc5a4d76fd764d9cded303879376e03cbe9,32882f2072d34ad001ffe301ab6ac6add8045256139ab4006c2c75567e1a9fe5,13853,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
G12_7T6B,G12-13,1,b8b11cc6f4bac15c777671fd4f818ccda809da4398599db71d6ed9a6c9d666e4,7e81f67f2ef127cffc2078d3d685beab375470aa169c38fcfd087d988e98c5f9,17318,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
G12_8IKL,G12-13,1,0f1f688440f3e10c3181780c19cadd46c65cae2b96fd06b187bdcbadfad60196,51e62539008ab8de9aaea879f55a7d18397136cfff5afb8281f682c76f5e42b6,14016,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
G12_8KGG,G12-13,1,6ee137d37128d93618c86df055c61a8a8bed8843448317a246a590dd2ffb42fa,a3f463fc011de4adc2a81539c7675e4b75ed589908a5a37ffdc2230ce61ec4f4,14535,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
G12_9IY8,G12-13,1,7a68bff5c75193cd6abb519d3bedb05600b8d1cf18a12289b6ca144a70aae0a6,0532647567a1e6e9848f0939d25397c78fe836086349b1a267d9d71dc72f76ad,17378,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_6CMO,Gi,1,23f93f0f85c1a467b9d05b377bf9f518ae6f9c30f5cfe00ae57b949ee8f6f625,be0de55aa284fd44e2924b40325adc98d37c784d5c2075b43ef1524379bb331b,16941,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_6D9H,Gi,1,3636955f581f401facc525ad38949ce26badebf54e80ea0ff2a2df4814a5ae33,81e74c1970f214dde843f76c909c51016c51adede3502c09639ec9e487a61656,16911,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_6G79,Gi,1,bbe5696d72e0283176ba00d50d0e5d75caab7c0143479b04210014af6d95a6c4,66063cdcfa8d0a486429c2620bd8aa51e686fe2431035e64bd3955694dcdc2ea,17123,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
Gi_6K42,Gi,1,0f20ca4456cce4691d42707d7e9925b5354954c016e548b549af28b58cef8c64,bd27a05629f63c157195e0c54acc46ddd32b02c31785d238b18b9951af743414,18477,2500,200.0,499.8,True,True,True,True,passed,True,True,True,2500,canonical_preserved,passed,proteins plus selected ligands retained during system preparation where applicable,author-defined system preparation and release selection,membrane;solvent;ions;ligands intentionally removed during system preparation,1.0
