file,rows,columns,size_bytes,sha256
Figure_1A_cohort_composition.csv,8,6,606,ebca528c2e588b0b91d8ac012ca719ad82fcb78db1c8772623f16f44e78ec7a8
Figure_1B_release_boundary.csv,3,4,220,a3b512c823ab53a95e6473ef72db3cb972a581fc891fd670d42d4470abaf8a2c
Figure_1C_protocol_groups.csv,3,6,267,390f77605a783c724642e531dc4cd58b03f9f1f0afe20c6325c7bfc92865ddf2
Figure_1D_identifier_coverage.csv,4,3,247,c13ed976693bab36ce574450fcbf1393bf39bf2bc15f26032aeb4c2791537d7c
Figure_2_record_roles.csv,7,6,1352,fe53831fdd4d01c707d98d8df1d3d6e160f62d7bee446632d434769d7db1e3b1
Figure_3A_positive_control.csv,58,9,6526,8ee79ea1e64e313fda7b4d97229bb86eb1cd9d1a6c6e6625cf6b9ffd1212815c
Figure_3B_pocket_completeness.csv,2,4,203,38487e7b01bed1538dd9461b63246cfef7a339884aa46d892e20d30cb527db7b
Figure_4A_replica_validation.csv,621,11,64652,215c30fba6b25d3b32e5a3d0ccaece17585ad90a036c46afa1d664b81c6ac79f
Figure_4B_reduced_record_qc.csv,207,18,30898,3c07e0ed7926c65f75b222698bbf046ac766db7e7a853e4f77f07c548152f581
Figure_5A_release_status.csv,3,12,636,e4c88a432c73cdc3ef859b924e0ad6a7d411d169748289a3b4095aa42160dde7
Figure_5B_release_file_manifest.csv,828,18,222726,301c3f959666ebb2f10913a260c51cc100d508f98a0eac77b4e5b65ca47b1896
Figure_5C_replica_qc_summary.csv,3,5,178,08f6cfbddf859e0a2cb6bd8f16c1dd483d03c12a5f6b1767bb65a25306a3b4ab
Figure_5D_worked_example.csv,2,19,919,2e1dfca04f19a51d646e26bb1a369f61223b2f2ded29776a5952094a23366e9f
Supplementary_Figure_1_gateway_provenance.csv,4,5,508,6e18a6c581ea530eeb989a2c83bba616da920ded643bca9172d2efb6f90a5e68
Supplementary_Figure_2_sampling_provenance.csv,5,4,601,9f6b606a5a81b0fd8e2177f7a90db31902644b53869bec4e81d79c17cbeb5ced
