system_id,g_protein_family,g_protein_family_label,gpcr_centered_pockets,mean_gpcr_pocket_occupancy
G12_7SF7,G12-13,G12/13,2,0.8905000000000001
G12_7T6B,G12-13,G12/13,4,0.884
G12_8IKL,G12-13,G12/13,4,0.88225
G12_8KGG,G12-13,G12/13,4,0.8865000000000001
G12_9IY8,G12-13,G12/13,3,0.8866666666666667
Gi_6CMO,Gi,Gi/o,1,0.913
Gi_6D9H,Gi,Gi/o,3,0.8963333333333333
Gi_6G79,Gi,Gi/o,2,0.9055
Gi_6K42,Gi,Gi/o,6,0.8843333333333333
Gi_6LFO,Gi,Gi/o,4,0.90075
Gi_6LML,Gi,Gi/o,5,0.8808
Gi_6OSA,Gi,Gi/o,6,0.8775
Gi_6PT0,Gi,Gi/o,3,0.8833333333333333
Gi_6WWZ,Gi,Gi/o,3,0.9156666666666666
Gi_7CMV,Gi,Gi/o,2,0.901
Gi_7D77,Gi,Gi/o,3,0.9046666666666666
Gi_7E2X,Gi,Gi/o,3,0.8936666666666667
Gi_7E32,Gi,Gi/o,2,0.8925000000000001
Gi_7E33,Gi,Gi/o,3,0.907
Gi_7EJX,Gi,Gi/o,3,0.866
Gi_7EW1,Gi,Gi/o,6,0.8968333333333334
Gi_7EW4,Gi,Gi/o,2,0.9125000000000001
Gi_7EXD,Gi,Gi/o,2,0.907
Gi_7EZH,Gi,Gi/o,3,0.871
Gi_7F1Q,Gi,Gi/o,5,0.889
Gi_7F8V,Gi,Gi/o,3,0.8733333333333334
Gi_7NA7,Gi,Gi/o,4,0.8847499999999999
Gi_7QVM,Gi,Gi/o,3,0.8826666666666667
Gi_7SQO,Gi,Gi/o,2,0.9045000000000001
Gi_7T10,Gi,Gi/o,2,0.8755
Gi_7T96,Gi,Gi/o,3,0.8786666666666667
Gi_7TS0,Gi,Gi/o,3,0.8773333333333334
Gi_7TUZ,Gi,Gi/o,3,0.9199999999999999
Gi_7VDL,Gi,Gi/o,1,0.865
Gi_7VGZ,Gi,Gi/o,4,0.90175
Gi_7VH0,Gi,Gi/o,4,0.9215
Gi_7VIF,Gi,Gi/o,3,0.906
Gi_7VKT,Gi,Gi/o,2,0.897
Gi_7VL9,Gi,Gi/o,3,0.8943333333333333
Gi_7W0N,Gi,Gi/o,2,0.903
Gi_7W6P,Gi,Gi/o,4,0.8895
Gi_7WQ3,Gi,Gi/o,4,0.887
Gi_7WU9,Gi,Gi/o,4,0.88775
Gi_7WV9,Gi,Gi/o,3,0.8776666666666667
Gi_7WVU,Gi,Gi/o,3,0.8969999999999999
Gi_7WVX,Gi,Gi/o,6,0.878
Gi_7X5H,Gi,Gi/o,2,0.897
Gi_7X9A,Gi,Gi/o,7,0.8781428571428572
Gi_7X9C,Gi,Gi/o,5,0.8774000000000001
Gi_7X9Y,Gi,Gi/o,3,0.898
Gi_7XA3,Gi,Gi/o,4,0.885
Gi_7XBX,Gi,Gi/o,4,0.875
Gi_7XK2,Gi,Gi/o,2,0.894
Gi_7XK8,Gi,Gi/o,3,0.894
Gi_7XMS,Gi,Gi/o,3,0.8736666666666667
Gi_7XXI,Gi,Gi/o,2,0.893
Gi_7Y12,Gi,Gi/o,3,0.8843333333333333
Gi_7Y89,Gi,Gi/o,3,0.895
Gi_7YK7,Gi,Gi/o,3,0.8783333333333333
Gi_7YKD,Gi,Gi/o,9,0.8896666666666666
Gi_7YON,Gi,Gi/o,7,0.8811428571428571
Gi_7YU8,Gi,Gi/o,4,0.88575
Gi_8DZQ,Gi,Gi/o,4,0.8855
Gi_8EFO,Gi,Gi/o,2,0.8955
Gi_8F7S,Gi,Gi/o,2,0.8755
Gi_8HK2,Gi,Gi/o,5,0.8864000000000001
Gi_8HK5,Gi,Gi/o,4,0.9075
Gi_8HQM,Gi,Gi/o,2,0.917
Gi_8HS3,Gi,Gi/o,3,0.882
Gi_8IC0,Gi,Gi/o,2,0.907
Gi_8ID9,Gi,Gi/o,3,0.926
Gi_8IHJ,Gi,Gi/o,2,0.9005000000000001
Gi_8IRU,Gi,Gi/o,5,0.8984
Gi_8IU2,Gi,Gi/o,1,0.935
Gi_8IY5,Gi,Gi/o,5,0.8946
Gi_8J18,Gi,Gi/o,3,0.895
Gi_8J21,Gi,Gi/o,4,0.90225
Gi_8J6D,Gi,Gi/o,2,0.8685
Gi_8JZZ,Gi,Gi/o,2,0.9195
Gi_8K3Z,Gi,Gi/o,3,0.878
Gi_8K6O,Gi,Gi/o,5,0.8865999999999999
Gi_8KFX,Gi,Gi/o,4,0.9065000000000001
Gi_8PJK,Gi,Gi/o,4,0.89525
Gi_8UGY,Gi,Gi/o,6,0.8873333333333333
Gi_8WWH,Gi,Gi/o,5,0.8814
Gi_8X8L,Gi,Gi/o,1,0.907
Gi_8XGM,Gi,Gi/o,8,0.893375
Gi_8XIP,Gi,Gi/o,2,0.892
Gi_8XIQ,Gi,Gi/o,2,0.896
Gi_8XXU,Gi,Gi/o,2,0.911
Gi_8XYD,Gi,Gi/o,1,0.881
Gi_8XZI,Gi,Gi/o,5,0.8872
Gi_8YNA,Gi,Gi/o,3,0.9226666666666667
Gi_8ZQE,Gi,Gi/o,7,0.9074285714285715
Gi_9AST,Gi,Gi/o,2,0.904
Gi_9IIX,Gi,Gi/o,3,0.919
Gi_9J5V,Gi,Gi/o,3,0.884
Gq_6OIJ,Gq,Gq/11,4,0.919
Gq_7DFL,Gq,Gq/11,2,0.891
Gq_7EIB,Gq,Gq/11,3,0.8813333333333334
Gq_7EZM,Gq,Gq/11,3,0.8813333333333334
Gq_7F2O,Gq,Gq/11,2,0.8694999999999999
