system_id,receptor_name,g_protein_family,pocket_id,n_voxels,mean_freq,is_orthosteric,is_peptide_proximal,peptide_control,peptide_site_recovered,best_peptide_site_freq,location,zone_public_label,receptor_generic_numbers,pocket_record_status,pocket_record_reason,schema_version
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,0.0,633.0,0.929,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,5.0,433.0,0.924,False,,False,,,interface,intracellular/transducer interface,1.61x61;2.46x46;2.47x47;2.50x50;3.50x50;3.53x53;3.54x54;3.56x56;3.57x57;4.41x42;4.42x43;4.45x46;6.45x45;7.57x57;8.47x47,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,4.0,167.0,0.932,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,2.0,119.0,0.906,False,,False,,,interface,intracellular/transducer interface,1.63x63;8.53x53;8.56x56,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,7.0,86.0,0.902,False,,False,,,receptor,extracellular vestibule,45.50x50;45.51x51;45.52x52,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,3.0,58.0,0.886,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,1.0,42.0,0.881,False,,False,,,other,other,,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,6.0,32.0,0.879,False,,False,,,receptor,extracellular vestibule,1.36x36;1.38x38;1.39x39;1.40x40;1.41x41;1.42x42;1.43x43;1.44x44;1.47x47;2.64x64;7.43x42,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,10.0,14.0,0.87,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,9.0,8.0,0.862,False,,False,,,interface,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7SF7,Adhesion G protein-coupled receptor L3,G12-13,8.0,6.0,0.861,False,,False,,,interface,intracellular/transducer interface,5.68x68,available_detected_pocket,,1.1
G12_7SF8,Adhesion G-protein coupled receptor G1,G12-13,1.0,153.0,0.91,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7SF8,Adhesion G-protein coupled receptor G1,G12-13,0.0,20.0,0.867,False,,False,,,interface,intracellular/transducer interface,2.44x44;2.46x46;3.56x56;3.57x57,available_detected_pocket,,1.1
G12_7SF8,Adhesion G-protein coupled receptor G1,G12-13,2.0,9.0,0.866,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,0.0,527.0,0.912,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,2.0,347.0,0.917,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,4.0,287.0,0.916,False,,False,,,receptor,extracellular vestibule,1.32x32;2.57x57;2.64x64;23.47x47;23.48x48;3.25x25;3.28x28;3.29x29;3.32x32;3.33x33;3.36x36;3.37x37;3.40x40;3.41x41;4.52x52;4.56x56;5.43x43;5.46x46;5.47x47;5.50x50;5.51x51;6.48x48;6.51x51;6.52x52;6.55x55;7.32x31;7.33x32;7.35x34;7.36x35;7.39x38;7.42x41,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,3.0,235.0,0.895,False,,False,,,interface,intracellular/transducer interface,12.50x50;12.51x51;6.30x30,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,5.0,98.0,0.885,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,1.0,77.0,0.902,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,6.0,69.0,0.905,False,,False,,,receptor,membrane-facing,2.39x39;2.43x43;2.46x46;2.50x50;3.39x39;3.43x43;3.46x46;3.50x50;5.58x58;6.41x41;6.44x44;6.48x48;7.45x45;7.46x46;7.49x49;7.53x53,available_detected_pocket,,1.1
G12_7T6B,Sphingosine 1-phosphate receptor 2,G12-13,7.0,10.0,0.861,False,,False,,,g_protein,intracellular/transducer interface,,available_detected_pocket,,1.1
