system_id,g_protein_family,n_pockets,has_pockets,ortho_recovered,best_ortho_freq,n_ortho_pockets,structural_provenance,g_protein_family_label
Gi_6OSA,Gi,11,True,True,0.894,1,experimental,Gi/o
Gi_7EZH,Gi,11,True,True,0.873,1,experimental,Gi/o
Gi_7F8V,Gi,9,True,True,0.89,1,experimental,Gi/o
Gi_7NA7,Gi,10,True,True,0.943,2,experimental,Gi/o
Gi_7T10,Gi,8,True,True,0.886,2,experimental,Gi/o
Gi_7TS0,Gi,8,True,True,0.896,2,experimental,Gi/o
Gi_7VDL,Gi,9,True,True,0.865,1,experimental,Gi/o
Gi_7WQ3,Gi,11,True,True,0.942,1,experimental,Gi/o
Gi_7WVX,Gi,17,True,True,0.91,1,experimental,Gi/o
Gi_7X9A,Gi,12,True,True,0.911,2,experimental,Gi/o
Gi_7X9C,Gi,12,True,True,0.859,1,experimental,Gi/o
Gi_7XK8,Gi,11,True,True,0.911,1,experimental,Gi/o
Gi_7XMS,Gi,11,True,True,0.873,1,experimental,Gi/o
Gi_7YON,Gi,13,True,True,0.905,2,experimental,Gi/o
Gi_8J6D,Gi,5,True,False,,0,experimental,Gi/o
Gi_8K6O,Gi,12,True,True,0.902,1,experimental,Gi/o
Gi_8X8L,Gi,8,True,False,,0,experimental,Gi/o
Gi_8ZQE,Gi,15,True,True,0.934,3,engineered_uncertain,Gi/o
Gs_6PB0,Gs,10,True,True,0.872,2,experimental,Gs
Gs_6PB1,Gs,6,True,True,0.881,1,experimental,Gs
Gs_6UVA,Gs,12,True,True,0.891,5,experimental,Gs
Gs_7F16,Gs,12,True,True,0.921,2,experimental,Gs
Gs_7F4H,Gs,8,True,False,,0,experimental,Gs
Gs_7F54,Gs,8,True,True,0.873,1,experimental,Gs
Gs_7FIN,Gs,12,True,True,0.912,4,experimental,Gs
Gs_7MBX,Gs,5,True,False,,0,experimental,Gs
Gs_7RMH,Gs,9,True,True,0.926,1,experimental,Gs
Gs_7V9M,Gs,13,True,True,0.907,2,experimental,Gs
Gs_7WBJ,Gs,11,True,True,0.897,1,experimental,Gs
Gs_8E3X,Gs,10,True,True,0.891,2,experimental,Gs
Gs_8E3Y,Gs,11,True,True,0.878,3,experimental,Gs
Gs_8F0J,Gs,8,True,True,0.937,1,experimental,Gs
Gs_8INR,Gs,14,True,True,0.918,3,experimental,Gs
Gs_8IOC,Gs,15,True,False,,0,experimental,Gs
Gs_8XVI,Gs,9,True,True,0.91,1,experimental,Gs
Gs_9BLC,Gs,6,True,True,0.925,1,experimental,Gs
Gq_7EIB,Gq,13,True,True,0.921,1,experimental,Gq/11
Gq_7EZM,Gq,11,True,True,0.872,1,engineered_uncertain,Gq/11
Gq_7F2O,Gq,12,True,True,0.872,1,experimental,Gq/11
Gq_7F6G,Gq,14,True,True,0.906,2,engineered_uncertain,Gq/11
Gq_7F8W,Gq,8,True,False,,0,experimental,Gq/11
Gq_7P00,Gq,9,True,True,0.93,1,experimental,Gq/11
Gq_7S8L,Gq,13,True,True,0.941,3,experimental,Gq/11
Gq_7TRY,Gq,7,True,True,0.86,3,experimental,Gq/11
Gq_7W3Z,Gq,8,True,False,,0,experimental,Gq/11
Gq_7W53,Gq,9,True,True,0.878,3,experimental,Gq/11
Gq_7W55,Gq,9,True,True,0.886,1,experimental,Gq/11
Gq_7XW9,Gq,13,True,True,0.873,1,experimental,Gq/11
Gq_7XWO,Gq,12,True,False,,0,experimental,Gq/11
Gq_8DWC,Gq,14,True,True,0.926,2,experimental,Gq/11
Gq_8F7X,Gq,12,True,True,0.91,2,experimental,Gq/11
Gq_8H0P,Gq,12,True,True,0.889,2,experimental,Gq/11
Gq_8HCQ,Gq,8,True,True,0.86,1,engineered_uncertain,Gq/11
Gq_8HCX,Gq,10,True,True,0.867,1,engineered_uncertain,Gq/11
Gq_8JBG,Gq,12,True,True,0.878,1,experimental,Gq/11
Gq_8WST,Gq,5,True,False,,0,experimental,Gq/11
Gq_8WZ2,Gq,9,True,True,0.904,2,experimental,Gq/11
Gq_8ZPT,Gq,9,True,True,0.891,1,experimental,Gq/11
