system_id,g_protein_family,g_protein_family_label,interface,mean,ci_lo,ci_hi,n_replicas,replica_1,replica_2,replica_3,unit
Gi_6CMO,Gi,Gi/o,TM1-TM2,0.008,0.0,0.015,3,0.01,0.015,0.0,fraction
Gi_6CMO,Gi,Gi/o,TM2-TM3,0.3,0.28,0.335,3,0.335,0.28,0.285,fraction
Gi_6CMO,Gi,Gi/o,TM3-TM4,0.41,0.175,0.78,3,0.78,0.275,0.175,fraction
Gi_6CMO,Gi,Gi/o,TM4-TM5,0.188,0.105,0.33,3,0.13,0.105,0.33,fraction
Gi_6CMO,Gi,Gi/o,TM5-TM6,0.765,0.58,1.0,3,1.0,0.715,0.58,fraction
Gi_6CMO,Gi,Gi/o,TM6-TM7,0.337,0.185,0.49,3,0.49,0.335,0.185,fraction
Gi_6CMO,Gi,Gi/o,TM7-TM1,0.403,0.365,0.45,3,0.395,0.45,0.365,fraction
Gi_6D9H,Gi,Gi/o,TM1-TM2,0.228,0.175,0.255,3,0.255,0.175,0.255,fraction
Gi_6D9H,Gi,Gi/o,TM2-TM3,0.025,0.0,0.05,3,0.0,0.025,0.05,fraction
Gi_6D9H,Gi,Gi/o,TM3-TM4,0.448,0.295,0.675,3,0.675,0.375,0.295,fraction
Gi_6D9H,Gi,Gi/o,TM4-TM5,0.01,0.0,0.03,3,0.03,0.0,0.0,fraction
Gi_6D9H,Gi,Gi/o,TM5-TM6,0.052,0.025,0.1,3,0.03,0.025,0.1,fraction
Gi_6D9H,Gi,Gi/o,TM6-TM7,0.045,0.01,0.095,3,0.01,0.03,0.095,fraction
Gi_6D9H,Gi,Gi/o,TM7-TM1,0.348,0.145,0.48,3,0.42,0.145,0.48,fraction
Gi_6G79,Gi,Gi/o,TM1-TM2,0.175,0.12,0.205,3,0.205,0.12,0.2,fraction
Gi_6G79,Gi,Gi/o,TM2-TM3,0.002,0.0,0.005,3,0.0,0.0,0.005,fraction
Gi_6G79,Gi,Gi/o,TM3-TM4,0.405,0.21,0.665,3,0.34,0.665,0.21,fraction
Gi_6G79,Gi,Gi/o,TM4-TM5,0.002,0.0,0.005,3,0.0,0.005,0.0,fraction
Gi_6G79,Gi,Gi/o,TM5-TM6,0.298,0.035,0.62,3,0.62,0.035,0.24,fraction
Gi_6G79,Gi,Gi/o,TM6-TM7,0.015,0.0,0.04,3,0.04,0.0,0.005,fraction
Gi_6G79,Gi,Gi/o,TM7-TM1,0.572,0.54,0.6,3,0.575,0.54,0.6,fraction
Gi_6K42,Gi,Gi/o,TM1-TM2,0.8,0.505,0.95,3,0.945,0.505,0.95,fraction
Gi_6K42,Gi,Gi/o,TM2-TM3,0.0,0.0,0.0,3,0.0,0.0,0.0,fraction
Gi_6K42,Gi,Gi/o,TM3-TM4,0.282,0.265,0.315,3,0.265,0.265,0.315,fraction
Gi_6K42,Gi,Gi/o,TM4-TM5,0.037,0.01,0.055,3,0.055,0.01,0.045,fraction
Gi_6K42,Gi,Gi/o,TM5-TM6,0.055,0.03,0.095,3,0.095,0.04,0.03,fraction
